,D_c,D_z
0,11.25,13.4
1,17.31,19.27
2,23.37,25.31
3,29.24,31.34
4,35.21,37.29
5,40.45,42.62
6,45.87,48.09
7,51.67,53.61
8,57.19,60.23
9,63.96,66.72
10,70.24,72.69
11,76.23,78.49
12,82.39,84.58
13,88.53,89.91
14,93.28,95.69
15,98.99,101.09
16,104.78,106.57
17,110.4,112.9
18,116.59,118.68
19,122.07,123.79
20,127.28,129.18
21,132.69,135.04
22,138.66,140.49
23,144.39,146.4
24,150.06,152.38
25,156.08,158.13
26,161.84,163.7
27,167.23,169.09
28,172.63,174.31
29,177.38,179.29
30,182.33,184.33
31,187.54,189.35
32,193.06,194.78
33,198.16,200.11
34,203.65,205.38
35,208.33,210.03
36,213.23,214.66
37,218.65,220.05
38,224.01,226.41
39,230.18,232.2
40,235.83,237.57
41,240.95,243.06
42,246.27,248.28
43,251.78,253.78
44,256.78,258.38
45,261.93,263.51
46,266.87,268.62
47,271.87,274.13
48,277.48,279.53
49,282.93,285.25
50,288.53,290.97
